Id,to_n,program_n,electron_n,the_n,be_n,or_n,can_n,process_n,accept_n,data_n,a_n,inform_n,oper_n,instruct_n,system_n,store_n,that_n,and_n,comput_n,which_n,set_n,result_n,c_n,devic_n,calcul_n,is_n,it_n,in_n,perform_n,i_n,for_n,machin_n,by_n,on_n,of_n,with_n,us_n,an_n,as_n,other_n
87,0.0,0.0,0.0,0.0,0.0,0.178291445141,0.133232344182,0.0,0.0,0.0,0.00759546286988,0.0,0.0,0.0,0.288715519706,0.0,0.0746613043772,0.0,0.014346903352,0.0,0.0,0.0,0.0,0.0985515284901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213535532652,0.0,0.0,0.198558176063,0.0,0.0,0.0,0.288715519706
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00969370711781,0.0,0.0,0.0,0.217686331042,0.0,0.0,0.0309142999382,0.0140736424123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217686331042
89,0.0,0.0,0.0991419724978,0.12418879704,0.0,0.0,0.0,0.101876931719,0.0,0.0991419724978,0.00994112982347,0.130335803217,0.0,0.145962947028,0.0,0.123313867735,0.0,0.0412470199876,0.0110934097383,0.207012042142,0.0,0.0,0.0,0.0991419724978,0.0,0.0421662869578,0.0,0.0,0.0,0.0,0.0,0.0,0.214814871265,0.0,0.0,0.0,0.0,0.126766308505,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.371259561586,0.0,0.0,0.0,0.0,0.0303951887204,0.0,0.0,0.0,0.0,0.0,0.202269324845,0.0,0.038868038522,0.0,0.0,0.0,0.0,0.266991734158,0.47089792213,0.113554832471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.120683559766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00930120020719,0.0,0.0,0.0,0.0,0.0,0.0,0.038591870106,0.0175688332254,0.0,0.0,0.0,0.0,0.120683559766,0.0,0.0513281860749,0.0,0.0,0.0,0.0,0.0,0.0,0.26148988871,0.0,0.0,0.0,0.0,0.15431011693,0.234877282061,0.0
92,0.0,0.0,0.116214290761,0.0985526380177,0.0,0.0,0.157110727989,0.0,0.0,0.116214290761,0.0116529994581,0.0,0.251806145066,0.0,0.0,0.0,0.0,0.0371626990635,0.0130037027948,0.242659663212,0.315707500576,0.0,0.0,0.116214290761,0.0,0.0494273515985,0.0,0.0,0.226179081918,0.157110727989,0.0,0.0,0.0,0.327607347823,0.145574196325,0.0,0.0,0.0,0.0,0.0
93,0.0846200457594,0.0,0.0,0.0,0.0,0.0,0.102228315511,0.0777039687708,0.0,0.0,0.00860858808956,0.099410229696,0.163844432362,0.111329425476,0.0,0.0,0.0,0.0357181337836,0.00846120853191,0.157893028249,0.157893028249,0.157893028249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0641259212699,0.0,0.157893028249,0.0,0.0,0.0
94,0.0,0.0,0.126140280827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014360211012,0.0,0.273313184158,0.0,0.284035909363,0.0,0.0,0.0403368059595,0.0141143633161,0.0,0.342672424545,0.0,0.0,0.0,0.0,0.0536489959224,0.0,0.0,0.0,0.0,0.0,0.0,0.273313184158,0.0,0.139171343798,0.0,0.0,0.0,0.0,0.0
95,0.0419682000569,0.0,0.0,0.0469782519229,0.0,0.0,0.0,0.0569254452494,0.0,0.0,0.00426951963815,0.0,0.120031414243,0.0,0.0,0.0,0.0,0.028380145785,0.00619862885573,0.0,0.0,0.0,0.0,0.0,0.0,0.0235611204528,0.0,0.0977050683165,0.0,0.0748918294598,0.140271145977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107815458863,0.0
96,0.0,0.0,0.155667646718,0.0,0.0,0.0,0.21044793321,0.15996193959,0.0,0.155667646718,0.0156090528194,0.0,0.0,0.0,0.0,0.193621118426,0.117931702647,0.0497789890643,0.0174183037166,0.0,0.0,0.0,0.0,0.155667646718,0.0,0.066207343834,0.0,0.0,0.0,0.21044793321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.124294257173,0.280428851523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164066099957,0.02148302563,0.0,0.0,0.241548265117,0.0,0.0,0.124294257173,0.0,0.018358041757,0.0,0.0,0.0,0.0,0.0,0.0,0.0697793081633,0.0,0.0,0.0,0.0,0.0,0.193173644114,0.0,0.0,0.139132174315,0.0,0.0,0.0,0.0,0.0
98,0.0,0.175270282713,0.0788164988406,0.0668383709887,0.17747475885,0.10959657196,0.106552450902,0.105371399867,0.17747475885,0.0788164988406,0.00897272106231,0.10361516343,0.0,0.0,0.0,0.0,0.0597103129707,0.0252037319032,0.00881910752577,0.0,0.0,0.164571714365,0.164571714365,0.0,0.0,0.0,0.119455495387,0.13901001711,0.0,0.0,0.153394588833,0.0927996112624,0.0,0.0,0.0,0.0,0.0,0.100777464434,0.153394588833,0.0
99,0.0716396324584,0.0,0.0,0.0542892335925,0.0,0.0890194331197,0.0,0.0657844570201,0.0,0.0640184261406,0.00641923364367,0.109496056911,0.0,0.0,0.0,0.0,0.0,0.0204716432859,0.00716328931213,0.0,0.0,0.0,0.0,0.0,0.0,0.0272278154168,0.0970273092695,0.1129104013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110659714078,0.0,0.0,0.0,0.262558845222,0.0,0.0,0.0372867825636,0.0130471211955,0.187136258709,0.0,0.0,0.0,0.0,0.0,0.0495923858651,0.0,0.158069779036,0.0,0.0,0.0,0.0,0.0,0.0,0.0760026273854,0.0,0.0,0.0,0.0,0.0
